OrderID,CustomerID,OrderDate,ProductCategory,Quantity,Price_USD,Shipping_City,Customer_Rating,Transaction_Status
ORD-59,CUST-35203,2023-12-30 00:00:00,Home Goods,4.0,78.35,Chicago,2.0,Pending
ORD-60,CUST-19116,2023-03-21 00:00:00,Electronics,-1.0,83.13,,0.0,Pending
ORD-61,CUST-16006,2023-01-21 00:00:00,Books,2.0,185.48,Phoenix,3.0,Pending
ORD-62,CUST-96673,2023-03-20 00:00:00,Apparel,2.0,12.56,Los Angeles,1.0,Success
63,CUST-39871,2023-06-15 00:00:00,Home Goods,5.0,138.65,los angeles,3.0,Canceled
ORD-64,CUST-47930,2023-11-02 00:00:00,Books,3.0,97.16,Los Angeles,1.0,Failed
ORD-65,CUST-20458,2023-01-27 00:00:00,Books,1.0,24.1,Chicago,0.0,Canceled
ORD-66,cust-40512,2023-11-17 00:00:00,Home Goods,3.0,8.43,Houston ,1.0,Pending
ORD-67,CUST-23238,2023-11-12 00:00:00,Electronics,2.0,170.45,los angeles,5.0,Failed
ORD-68,cust-59823,2023-12-05 00:00:00,Electronics,1.0,35.15,los angeles,4.0,Success
ORD-69,CUST-46434,2023-06-04 00:00:00,Apparel,3.0,46.99,New York,4.0,Failed
ORD-70,CUST-69429,2023-09-09 00:00:00,APPAREL,2.0,294.46,Los Angeles,1.0,Failed
ORD-71,CUST-93320,2023-10-21 00:00:00,Beauty,1.0,109.89,Phoenix,3.0,Failed
ORD-72,CUST-57819,2023-10-09 00:00:00,Beauty,2.0,229.21,houston,4.0,Pending
ORD-73,CUST-31319,2023-07-03 00:00:00,Apparel,5.0,248.53,Chicago,3.0,Canceled
ORD-74,CUST-58520,2023-02-07 00:00:00,Home Goods,4.0,124.96,Chicago,4.0,Canceled
,CUST-56566,2023-12-29 00:00:00,beauty,3.0,165.07,New York,5.0,Canceled
ORD-76,CUST-37460,2023-06-12 00:00:00,Beauty,4.0,41.89,Phoenix,2.0,Failed
ORD-77,CUST-97841,2023-01-35,Home Goods,5.0,153.25,Phoenix,,Failed
ORD-78,CUST-44993,2023-04-23 00:00:00,Electronics ,1.0,174.29,New York,5.0,Canceled
ORD-79,CUST-99593,2023-04-05 00:00:00,books,3.0,237.86,Houston,5.0,Success
ORD-80,CUST-94939,2023-09-24 00:00:00,Elec,3.0,70.49,Houston,5.0,Pending
ORD-81,CUST-19358,2023-02-04 00:00:00,Books,3.0,162.71,New York,1.0,Failed
ORD-82,CUST-89840,2023-09-16 00:00:00,Home Goods,3.0,$162.15,Phoenix,3.0,Success
ORD-83,CUST-93227,2023-03-23 00:00:00,Beauty,5.0,153.03,Phoenix,4.0,Success
ORD-84,CUST-32431,2023-08-01 00:00:00,Home Goods,1.0,186.15,Phoenix,5.0,Canceled
ORD-85,CUST-80010,2023-01-35,Electronics,5.0,264.7,,,Canceled
,CUST-42087,2023-10-02 00:00:00,Home Goods,5.0,45.55,New York,5.0,Failed
ORD-87,CUST-31417,2023-07-26 00:00:00,ELECTRONICS,2.0,81.27,Phoenix,3.0,Failed
ORD-88,CUST-70589,2023-02-17 00:00:00,Home Goods,1.0,146.46,Los Angeles,2.0,Canceled
ORD-89,CUST-59735,2023-06-28 00:00:00,Apparel,4.0,,New York,3.0,Failed
,cust-45382,2023-04-24 00:00:00,Electronics,2.0,227.1,New York,4.0,Success
ORD-91,CUST-93886,2023-04-20 00:00:00,books,4.0,136.33,Phoenix,3.0,Canceled
ORD-92,CUST-83000,2023-12-06 00:00:00,Beauty,1.0,174.85,Phoenix,5.0,Canceled
ORD-93,CUST-38785,2023-06-19 00:00:00,Beauty,1.0,130.35,new york,3.0,Canceled
ORD-94,CUST-99733,2023-06-19 00:00:00,Electronics,5.0,188.86,Pho3nix,5.0,Success
ORD-95,CUST-52504,2023-07-04 00:00:00,Apparel,3.0,23.71,Chicago,2.0,Failed
ORD-96,CUST-17331,2023-05-31 00:00:00,Beauty,1.5,93.47,los angeles,1.0,Pending
ORD-97,CUST-40021,2023-04-22 00:00:00,Apparel,2.0,68.26,New York,2.0,Pending
ORD-98,CUST-14207,2023-11-13 00:00:00,Books,3.0,249.76,New York,3.0,Success
ORD-99,CUST-51347,2023-09-29 00:00:00,Beauty,2.0,178.02,LOS ANGELES,5.0,Failed
ORD-100,CUST-62581,2023-09-01 00:00:00,Home Goods,2.0,228.22,Los Angeles,3.0,Success
ORD-101,CUST-45093,2023-10-15 00:00:00,Home Goods,3.0,218.81,Houston,3.0,Failed
ORD-102,cust-18675,2023-11-29 00:00:00,Electronics,5.0,110.54,Houston,1.0,Success
ORD-103,CUST-37653,2023-01-05 00:00:00,Beauty,5.0,227.87,New York,1.0,Failed
,CUST-84341,2023-02-28 00:00:00,Apparel,1.0,,,5.0,Failed
ORD-105,CUST-51245,2023-12-09 00:00:00,Apparel,1.0,245.38,,5.0,Compl3ted
ORD-106,CUST-37869,2023-06-27 00:00:00,books,1.0,,Phoenix,5.0,Success
ORD-107,CUST-95909,2023-08-17 00:00:00,BEAUTY,4.5,262.57,Chicago,2.0,Pending
ORD-108,CUST-75435,2023-05-04 00:00:00,Apparel,4.0,215.85,Phoenix,5.0,Compl3ted
ORD-109,CUST-61856,2023-11-25 00:00:00,Apparel,4.0,36.85,CHICAGO,2.0,Canceled
ORD-110,CUST-94259,2023-11-11 00:00:00,Beauty,1.0,67.94,Phoenix,5.0,Success
ORD-111,CUST-70142,2023-11-15 00:00:00,Home Goods,2.0,217.32,New York,6.0,Success
112,CUST-28726,2023-05-05 00:00:00,Beauty,5.0,268.86,Chicago,4.0,Canceled
ORD-113,CUST-44718,2023-01-21 00:00:00,home goods,2.0,105.81,Los Angeles,5.0,Canceled
ORD-114,CUST-28301,2023-12-16 00:00:00,Electronics,4.0,294.4,Houston,2.0,Pending
,CUST-42325,2023-06-14 00:00:00,Electronics,1.0,17.92,Los Angeles,5.0,Pending
ORD-116,CUST-83579,2023-07-15 00:00:00,Home Goods,-4.0,80.08,Los Angeles,3.0,Success
ORD-117,,2023-02-28 00:00:00,Beauty,1.0,169.11,New York,1.0,Failed
ORD-118,CUST-44438,2023-07-17 00:00:00,BOOKS,1.0,32.85,New York,5.0,Success 
ORD-119,CUST-86622,2023-12-05 00:00:00,apparel,4.0,103.07,Phoenix,5.0,Failed
ORD-120,CUST-66155,2023-04-10 00:00:00,Electronics,2.0,249.87,Houston,5.0,Canceled
ORD-121,CUST-86484,2023-05-25 00:00:00,Electronics,2.0,11.47,new york,,Success
ORD-122,,2023-01-13 00:00:00,Home Goods,1.0,,Chicago,5.0,Failed
ORD-123,CUST-57447,2023-09-22 00:00:00,Books,2.0,272.4,Houston,5.0,Canceled
ORD-124,,2023-07-11 00:00:00,Beauty,1.0,87.13,Los Angeles,4.0,Success
ORD-125,CUST-28131,2023-09-21 00:00:00,Books,1.0,94.12,Los Angeles,4.0,Canceled
ORD-126,CUST-76784,2023-09-18 00:00:00,Home Goods,4.0,47.67,new york,3.0,Canceled
ORD-127,cust-74686,2023-08-17 00:00:00,Books,4.0,41.75,Chicago,5.0,Canceled
ORD-128,CUST-21915,2023-09-07 00:00:00,Apparel,3.0,33.72,Los Angeles,5.0,Success
ORD-129,cust-16175,2023-01-23 00:00:00,Beauty,2.0,98.78,Phoenix,4.0,Canceled
ORD-130,CUST-24371,2026-01-15,Beauty,4.0,14.31,Houston,4.0,Failed
ORD-131,CUST-30033,2023-11-30 00:00:00,Books,2.0,$62.01,new york,3.0,Canceled
ORD-132,cust-92240,2023-04-09 00:00:00,electronics,3.0,90.3,Houston,1.0,Success
ORD-133,CUST-30969,2023-06-14 00:00:00,Apparel,3.0,13.34,Houston,2.0,Success
ORD-134,CUST-99192,2023-09-21 00:00:00,Beauty,1.0,172.33,Chicago,1.0,Pending
ORD-135,CUST-65333,2023-02-12 00:00:00,Beauty,3.0,-5.0,Chicago,6.0,Canceled
ORD-136,CUST-88172,2023-02-19 00:00:00,Electronics,4.0,23.64,Chicago,3.0,Success
ORD-137,CUST-18326,2023-03-27 00:00:00,Books,2.0,227.9,CHICAGO,1.0,Failed
ORD-138,CUST-60432,2023-10-03 00:00:00,Electronics,4.0,147.85,Houston,5.0,Success
139,CUST-60019,2023-10-01 00:00:00,Home Goods,5.0,273.91,New York,5.0,Canceled
ORD-140,CUST-88104,2023-01-04 00:00:00,electronics,5.0,225.52,Phoenix,2.0,Canceled
ORD-141,CUST-71348,2023-11-17 00:00:00,Apparel,2.0,232.86,Los Angeles ,1.0,Failed
142,CUST-79352,2023-02-03 00:00:00,Beauty,5.0,42.4,Los Angeles,2.0,Success
ORD-143,CUST-42953,2023-01-35,Books,1.0,81.31,New York,3.0,Success
,cust-82512,2023-12-10 00:00:00,Home Goods,1.0,163.78,Houston,5.0,Canceled
ORD-145,CUST-11504,2023-11-19 00:00:00,Apparel,6.0,227.14,new york,,Canceled
ORD-146,CUST-99166,2023-04-20 00:00:00,Elec,2.0,190.99,,2.0,Canceled
ORD-147,CUST-25014,2023-12-17 00:00:00,Beauty,1.0,166.28,Houston,3.0,Failed
ORD-148,CUST-99353,2023-08-06 00:00:00,Boks,3.0,287.15,New York,4.0,Failed
ORD-149,CUST-80381,2023-02-23 00:00:00,Books,5.0,220.2,Phoenix,6.0,Pending
150,CUST-44973,2023-04-16 00:00:00,books,1.0,260.56,Phoenix,6.0,Canceled
ORD-151,CUST-94012,2023-10-03 00:00:00,Home Goods,1.0,141.21,Chicago,5.0,Failed
ORD-152,CUST-54587,2023-01-35,Books,4.0,167.59,Los Angeles,5.0,Success
ORD-153,CUST-24621,2023-08-11 00:00:00,Apparel,4.0,33.58,Phoenix,1.0,Pending
ORD-154,CUST-48469,2023-11-28 00:00:00,Books,4.0,28.49,Chicago,3.0,Pending
ORD-155,CUST-66985,2023-02-06 00:00:00,books,4.0,84.91,Houston,2.0,Pending
ORD-156,CUST-30730,2023-12-18 00:00:00,Apparel,2.0,157.51,houston,5.0,Failed
ORD-157,CUST-69470,2023-03-20 00:00:00,Home Goods,1.0,$298.61,Houston,,Failed
ORD-158,CUST-10425,2023-01-13 00:00:00,Beauty,2.0,237.25,Houston,5.0,Canceled
ORD-159,CUST-44522,2023-08-24 00:00:00,Books,1.0,252.72,Los Angeles,5.0,Canceled
ORD-160,CUST-75612,2023-06-19 00:00:00,Electronics,1.0,188.65,Houston,3.0,Success
ORD-161,CUST-33416,2023-01-20 00:00:00,Apparel,4.0,276.14,Los Angeles,5.0,Failed
ORD-162,CUST-76542,2023-02-14 00:00:00,Electronics,1.0,189.84,Los Angeles,2.0,Canceled
ORD-163,CUST-23947,2023-02-07 00:00:00,Beauty,3.0,284.42,Chicago,,Canceled
ORD-164,CUST-91959,2023-01-28 00:00:00,Home Goods,2.0,166.04,Phoenix,1.0,Canceled
ORD-165,CUST-49117,2023-02-04 00:00:00,ELECTRONICS,1.0,$186.86,Houston,4.0,Success 
ORD-166,cust-93748,2023-09-05 00:00:00,Electronics,5.0,163.83,,5.0,Success
ORD-167,CUST-76540,2023-10-13 00:00:00,Apparel,1.0,,Chicago,5.0,Canceled
ORD-168,CUST-89818,2023-02-06 00:00:00,Home Goods,3.0,78.45,LOS ANGELES,3.0,Failed
ORD-169,CUST-36071,2023-10-22 00:00:00,BEAUTY,1.0,292.7,new york,3.0,Success
ORD-170,cust-30032,2023-04-27 00:00:00,Home Goods,4.0,121.77,Los Angeles,5.0,Pending
,CUST-59009,2023-05-13 00:00:00,Home Goods,2.0,187.47,Houston,5.0,Pending
ORD-172,CUST-31174,2023-07-28 00:00:00,Beauty,1.0,134.9,N3w York,5.0,Failed
ORD-173,CUST-80697,2023-01-35,Electronics,5.0,279.44,Phoenix,1.0,Failed
ORD-174,cust-79514,2023-08-19 00:00:00,ELECTRONICS,3.0,"99,99",Chicago,5.0,Pending
ORD-175,CUST-10074,2023-11-19 00:00:00,Beauty,2.0,97.14,New York,5.0,Pending
ORD-176,cust-88504,2023-07-27 00:00:00,Electronics,1.0,268.29,Los Angeles,5.0,Compl3ted
ORD-177,CUST-52487,2023-08-10 00:00:00,Home Goods,5.0,31.64,Chicago ,3.0,Pending
ORD-178,CUST-74042,2023-06-11 00:00:00,electronics,2.0,105.38,Houston,5.0,Failed
,CUST-12552,2023-01-09 00:00:00,Books,3.0,82.06,Phoenix,5.0,Failed
ORD-180,CUST-24662,2023-01-35,HOME GOODS,1.0,97.5,Houston,6.0,Success
ORD-181,CUST-57576,2023-12-11 00:00:00,beauty,2.0,199.67,New York,1.0,Failed
ORD-182,CUST-50306,2023-03-02 00:00:00,Books,1.0,37.64,Los Angeles,2.0,Success
,CUST-41385,2023-10-01 00:00:00,home goods,1.0,186.04,Houston,5.0,Failed
ORD-184,CUST-17592,2023-01-04 00:00:00,APPAREL,2.0,218.1,Phoenix,4.0,Pending
,CUST-41571,2023-11-25 00:00:00,Electronics,5.0,205.46,Houston,3.0,Failed
ORD-186,CUST-84364,2023-11-13 00:00:00,Electronics,5.0,22.28,New York,3.0,Canceled
ORD-187,CUST-20322,2023-02-02 00:00:00,home goods,2.0,207.8,Chicago,5.0,Pending
ORD-188,CUST-21226,2023-01-35,Books,5.0,145.94,New York,5.0,Pending
ORD-189,CUST-73699,2023-01-24 00:00:00,Boks,2.0,111.59,Houston,5.0,Canceled
ORD-190,CUST-19071,2023-12-25 00:00:00,home goods,1.0,210.61,Los Angeles,5.0,Pending
191,cust-79822,2023-02-07 00:00:00,Electronics,5.0,117.54,New York,1.0,Failed
ORD-192,CUST-26483,2023-07-03 00:00:00,Apparel,-1.0,209.96,Houston,4.0,Canceled
ORD-193,CUST-26828,2023-09-15 00:00:00,Elec,3.0,108.62,houston,4.0,Failed
ORD-194,CUST-96474,2023-02-24 00:00:00,Books,1.0,25.76,Los Angeles,3.0,Failed
ORD-195,CUST-72296,2023-05-29 00:00:00,Books,2.0,28.19,Houston,5.0,Pending
ORD-196,CUST-82063,2023-12-18 00:00:00,APPAREL,5.0,206.42,New York,5.0,Failed
ORD-197,CUST-31643,2023-01-35,ELECTRONICS,1.0,,Chicago,2.0,Failed
ORD-198,CUST-44741,2023-11-07 00:00:00,Beauty ,1.0,250.59,New York,2.0,Pending
ORD-199,CUST-79163,2023-02-14 00:00:00,Books,1.0,163.66,Los Angeles,5.0,Success
ORD-200,CUST-89507,2023-05-25 00:00:00,Apparel,4.0,232.53,Phoenix,2.0,Failed
ORD-201,CUST-65461,2023-08-13 00:00:00,App@r3l,5.0,"99,99",New York,5.0,Success
ORD-202,CUST-37760,2023-07-15 00:00:00,Home Goods,4.0,,Houston,1.0,Pending
ORD-203,CUST-80686,2023-07-22 00:00:00,Books,1.0,97.74,Chicago,5.0,Failed
ORD-204,CUST-36365,2023-12-05 00:00:00,Electronics,4.0,126.18,New York,2.0,Pending
ORD-205,CUST-50857,2023-01-16 00:00:00,Books,2.0,214.26,Phoenix,3.0,Failed
ORD-206,CUST-62296,2023-08-31 00:00:00,Home Goods,1.0,42.1,,5.0,Failed
ORD-207,CUST-98039,2023-03-22 00:00:00,Beauty,1.0,156.83,Phoenix,5.0,Failed
ORD-208,cust-95180,2023-10-01 00:00:00,Apparel,5.0,81.67,,5.0,Success
ORD-209,CUST-58944,2023-04-23 00:00:00,Electronics,-7.5,114.85,New York,1.0,Failed
ORD-210,CUST-67422,2023-03-11 00:00:00,Apparel,1.0,21.46,Los Angeles,5.0,Success 
ORD-211,CUST-77839,2023-07-20 00:00:00,Home Goods,2.0,148.22,Phoenix,5.0,Canceled
ORD-212,CUST-69177,2023-10-07 00:00:00,Electronics,4.0,19.5,New York,5.0,Failed
ORD-213,CUST-25860,2023-01-06 00:00:00,BOOKS,1.0,180.26,Phoenix,1.0,Canceled
ORD-214,CUST-42493,2026-01-15,Beauty,3.0,,New York,5.0,Pending
ORD-215,CUST-39451,2023-03-15 00:00:00,b3@uty,4.0,93.83,,6.0,Canceled
ORD-216,cust-18392,2023-06-02 00:00:00,home goods,5.0,45.09,New York,2.0,Failed
ORD-217,CUST-54313,2023-12-13 00:00:00,Apparel ,4.0,161.45,Los Angeles,5.0,Success
ORD-218,CUST-12757,2023-11-28 00:00:00,Beauty,1.0,-5.0,New York ,1.0,Compl3ted
ORD-219,CUST-87110,2023-07-11 00:00:00,Apparel,1.5,57.78,Los Angeles,5.0,Canceled
ORD-220,CUST-82603,2023-01-06 00:00:00,Beauty ,1.0,91.53,Chicago,3.0,Failed
ORD-221,CUST-40161,2023-10-11 00:00:00,B3@uty,2.0,$116.02,Los Angeles,5.0,Success
ORD-222,CUST-87128,2023-10-12 00:00:00,Beauty,1.0,115.64,New York,4.0,Failed
ORD-223,cust-38864,2023-03-14 00:00:00,Apparel,1.5,260.23,Phoenix,2.0,Pending
ORD-224,CUST-10942,2023-03-05 00:00:00,Electronics,3.0,,CHICAGO,3.0,Success
ORD-225,CUST-19305,2023-01-22 00:00:00,Beauty,4.0,223.47,Chicago,2.0,Failed
ORD-226,CUST-92719,2023-01-03 00:00:00,apparel,3.0,169.24,Los Angeles,5.0,Success
227,CUST-17716,2023-10-21 00:00:00,electronics,1.0,,Los Angeles,5.0,Success
ORD-228,CUST-40007,2023-11-02 00:00:00,APPAREL,2.0,151.76,Houston,5.0,Pending
,CUST-18834,2023-01-35,Books,5.0,19.75,Chicago,2.0,Canceled
ORD-230,CUST-14117,2023-10-03 00:00:00,beauty,2.0,237.81,Phoenix,3.0,Failed
ORD-231,CUST-53309,2023-01-35,Apparel,2.0,82.33,,2.0,Success
ORD-232,CUST-19287,2023-02-13 00:00:00,Beauty,1.0,9.23,Phoenix,1.0,Compl3ted
ORD-233,CUST-77391,2023-06-06 00:00:00,Books,3.0,$238.2,CHICAGO,5.0,Success
ORD-234,CUST-41195,2023-04-18 00:00:00,Apparel,1.0,96.67,,5.0,Pending
ORD-235,CUST-46500,2023-06-26 00:00:00,Electronics,5.0,129.96,New York,3.0,Failed
236,CUST-97684,2023-04-19 00:00:00,Beauty,5.0,112.44,Phoenix,0.0,Failed
ORD-237,CUST-73624,2023-07-31 00:00:00,Beauty,2.0,228.1,Los Angeles,4.0,Success
ORD-238,CUST-38080,2023-11-27 00:00:00,Books,2.0,105.28,HOUSTON,5.0,Canceled
ORD-239,CUST-80678,2023-01-35,Beauty,3.0,268.28,new york,5.0,Success
ORD-240,cust-27342,2023-03-14 00:00:00,Home Goods,2.0,173.51,New York,2.0,Failed
ORD-241,CUST-84847,2023-03-24 00:00:00,Electronics,5.0,$235.84,Phoenix,5.0,Failed
ORD-242,CUST-85525,2023-04-05 00:00:00,Home Goods,3.0,96.01,phoenix,6.0,Pending
ORD-243,CUST-71953,2023-04-24 00:00:00,electronics,5.0,99.09,Houston,1.0,Compl3ted
ORD-244,CUST-41850,2023-11-12 00:00:00,Books,2.0,70.12,New York,5.0,Success 
ORD-245,CUST-71993,2023-05-10 00:00:00,HOME GOODS,2.0,$235.47,Los Angeles,5.0,Success
ORD-246,CUST-63354,2023-04-10 00:00:00,Home Goods,1.0,242.55,Houston,5.0,Canceled
ORD-247,cust-34957,2023-02-28 00:00:00,Books,1.0,13.52,Chicago,0.0,Failed
ORD-248,CUST-22363,2023-04-03 00:00:00,Electronics,1.0,43.6,Houston,2.0,Canceled
ORD-249,CUST-22704,2023-12-10 00:00:00,Beauty,2.0,257.83,Chicago,1.0,Success
ORD-250,CUST-96374,2023-10-18 00:00:00,Home Goods,1.0,114.01,Chicago,5.0,Canceled
ORD-251,CUST-66498,2023-01-28 00:00:00,Home Goods,2.0,240.68,CHICAGO,3.0,Pending
ORD-252,CUST-56438,2023-10-09 00:00:00,Books,3.0,263.39,Chicago,,Canceled
ORD-253,CUST-65519,2023-08-25 00:00:00,Beauty ,3.0,236.07,Pho3nix,4.0,Pending
ORD-254,CUST-63883,2023-11-27 00:00:00,Electronics,2.0,257.02,Los Angeles,2.0,Canceled
ORD-255,,2023-10-09 00:00:00,Elec,2.0,59.38,New York,3.0,Pending
256,CUST-17100,2023-02-07 00:00:00,Electronics,1.0,128.53,Chicago,1.0,Pending
ORD-257,CUST-98259,2023-05-29 00:00:00,Books,2.0,211.68,Chicago,1.0,Success
ORD-258,cust-95649,2023-12-10 00:00:00,Home Goods,5.0,20.99,Phoenix ,3.0,Compl3ted
ORD-259,,2023-02-04 00:00:00,Beauty,5.0,121.96,Phoenix,5.0,Success
ORD-260,CUST-22899,2023-05-09 00:00:00,Home Goods,2.0,103.53,Chicago,4.0,Success
ORD-261,CUST-17944,2023-02-20 00:00:00,Books,1.0,184.43,Chicago,1.0,Success
ORD-262,CUST-62772,2023-04-12 00:00:00,Electronics,1.0,72.53,Chicago,2.0,Pending
ORD-263,CUST-54473,2023-10-25 00:00:00,home goods,1.0,20.84,,2.0,Success
ORD-264,CUST-24322,2023-07-09 00:00:00,Apparel,2.0,209.96,Phoenix,1.0,Failed
ORD-265,CUST-42591,2023-06-19 00:00:00,Books,4.0,204.2,New York,3.0,Compl3ted
,CUST-35112,2023-07-02 00:00:00,Electronics,2.0,52.28,New York,5.0,Success
ORD-267,CUST-34931,2023-03-07 00:00:00,Beauty,2.0,60.09,Phoenix,3.0,Failed
ORD-268,CUST-80292,2023-01-35,Electronics,1.0,56.6,New York,3.0,Success
ORD-269,CUST-68800,2023-12-02 00:00:00,Apparel,2.0,91.76,Phoenix,2.0,Failed
ORD-270,CUST-28373,2023-05-01 00:00:00,Home Goods,2.0,289.17,New York,5.0,Failed
271,CUST-65296,2023-02-21 00:00:00,electronics,1.0,-5.0,Phoenix,1.0,Success
ORD-272,CUST-34050,2023-05-26 00:00:00,Apparel,1.0,131.31,Phoenix,1.0,Pending
ORD-273,CUST-46509,2023-11-14 00:00:00,Apparel,2.0,265.0,Houston,3.0,Canceled
ORD-274,CUST-70637,2023-02-05 00:00:00,Apparel,3.0,209.72,Chicago,,Success
ORD-275,CUST-42742,2023-04-10 00:00:00,Books,4.0,$144.81,Chicago,1.0,Failed
